Country_Subregion,Serotype,Year,Dengue_Cases,Incidence_Rate,Severe_Dengue_Cases,Severe_Dengue_Rate,Deaths,Dengue_Death_Rate,Population_Times_1000
South America,"DEN 1,2,3,4",2014,860009,209.28,4083,0.47,546,0.063,410931
South America,"DEN 1,2,3,4",2015,1981498,477.41,3553,0.18,1163,0.06,415051
South America,"DEN 1,2,3,4",2016,2579732,610.54,2247,0.087,875,0.034,422531
South America,"DEN 1,2,3,4",2017,639570,150.7,1213,0.19,257,0.04,424391
South America,"DEN 1,2,3,4",2018,578750,135.15,1084,0.187,244,0.042,428238
South America,"DEN 1,2,3,4",2019,2453310,576.08,3275,0.133,1028,0.042,425865
South America,"DEN 1,2,3,4",2020,2034732,477.79,2890,0.142,856,0.042,425865
South America,"DEN 1,2,3,4",2021,1140614,262.66,1601,0.14,354,0.031,434255
South America,"DEN 1,2,3,4",2022,2558556,588.87,3295,0.129,1164,0.045,434484
South America,"DEN 1,2,3,4",2023,3924970,903.15,5514,0.14,1946,0.05,434589
South America,"DEN 1,2,3,4",2024,8810711,2170.75,7963,0.09,4098,0.047,405884
